id,name,ministry,department,description,benefitType,benefitAmount,benefitDescription,minAge,maxAge,gender,maxAnnualIncome,incomeCategoryAllowed,casteCategoryAllowed,employmentTypes,mustBeDisabled,mustBeWidow,mustBeStudent,mustBeFarmer,mustBeSeniorCitizen,mustHaveRationCard,isMinority,documentsRequired,schemeLevel,applicationLink
pm-svanidhi,""Pradhan Mantri Street Vendor’s AtmaNirbhar Nidhi"",Ministry of Housing and Urban Affairs,,Working capital loan to street vendors to resume livelihoods post-pandemic,loan,50000,""Collateral-free working capital loan starting with 10000 up to 50000"",18,,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Voter ID|Certificate of Vending|Letter of Recommendation,central,https://pmsvanidhi.mohua.gov.in/
pm-ujjwala-yojana,Pradhan Mantri Ujjwala Yojana,Ministry of Petroleum and Natural Gas,,""Providing LPG connections to women from below poverty line (BPL) households"",subsidy,1600,""Free LPG connection with first refill and stove for free"",18,,female,,BPL|SC|ST|AAY,,,false,false,false,false,false,true,false,BPL Certificate|Ration Card|Aadhaar Card|Bank Account,central,https://www.pmuy.gov.in/
pm-matru-vandana-yojana,Pradhan Mantri Matru Vandana Yojana,Ministry of Women and Child Development,,""Maternity benefit for pregnant and lactating mothers for the first child"",subsidy,5000,""INR 5000 in three installments for nutrition and health seeking behavior"",19,,female,,,,,false,false,false,false,false,false,false,Aadhaar Card|MCP Card|Bank Passbook|Identity Proof,central,https://pmmvy.nic.in/
pm-kisan-maan-dhan,""Pradhan Mantri Kisan Maan-Dhan Yojana"",Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Old age protection and social security for Small and Marginal Farmers (SMF),pension,3000,""Monthly pension of INR 3000 upon reaching 60 years"",18,40,any,,,,,farmer,false,false,false,true,false,false,false,Aadhaar Card|Bank Account|Landholding documents,central,https://maandhan.in/
pm-kaushal-vikas-yojana,Pradhan Mantri Kaushal Vikas Yojana,Ministry of Skill Development and Entrepreneurship,National Skill Development Corporation,Skill certification scheme to enable youth to take up industry-relevant training,employment,,Free short-term skill training and certification,15,45,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Voter ID|Educational Certificates,central,https://www.pmkvyofficial.org/
mgnrega,""Mahatma Gandhi National Rural Employment Guarantee Act"",Ministry of Rural Development,Department of Rural Development,Guarantee of 100 days of wage employment in a financial year to a rural household,employment,,Guaranteed wage employment at notified state wage rates,18,,any,,,,,false,false,false,false,false,false,false,Job Card|Aadhaar Card|Bank Account,central,https://nrega.nic.in/
pm-poshan-shakti-nirman,PM POSHAN (Mid Day Meal Scheme),Ministry of Education,Department of School Education and Literacy,Provision of hot cooked meal to school children to improve nutritional status,healthcare,,One hot cooked meal per day in government and government-aided schools,6,14,any,,,,,false,false,true,false,false,false,false,School Enrollment Proof,central,https://pmposhan.education.gov.in/
national-social-assistance-programme,National Social Assistance Programme,Ministry of Rural Development,Department of Rural Development,""Financial assistance to elderly, widows and persons with disabilities"",pension,500,""Monthly pension ranging from INR 200 to 500 depending on category"",60,,any,,BPL,,,true,true,false,false,true,false,false,BPL Card|Aadhaar Card|Age Proof|Disability Certificate,central,https://nsap.nic.in/
pm-jan-dhan-yojana,Pradhan Mantri Jan Dhan Yojana,Ministry of Finance,Department of Financial Services,National Mission for Financial Inclusion to ensure access to financial services,other,,Savings account with no minimum balance and INR 10000 overdraft facility,10,,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Voter ID|Driving License|PAN Card,central,https://pmjdy.gov.in/
pm-fasal-bima-yojana,Pradhan Mantri Fasal Bima Yojana,Ministry of Agriculture and Farmers Welfare,,""Crop insurance against non-preventable natural risks from pre-sowing to post-harvest"",insurance,,Insurance cover for crops with low premium (1.5% to 5%),18,,any,,,,,farmer,false,false,false,true,false,false,false,Land Records|Sowing Certificate|Aadhaar Card|Bank Account,central,https://pmfby.gov.in/
stand-up-india,Stand Up India Scheme,Ministry of Finance,Department of Financial Services,Facilitate bank loans to SC/ST and Women entrepreneurs for greenfield enterprises,loan,10000000,""Loans between 10 Lakh and 1 Crore for setting up manufacturing or services unit"",18,,any,,,,,false,false,false,false,false,false,false,Caste Certificate|Business Plan|Identity Proof|Address Proof,central,https://www.standupmitra.in/
soil-health-card-scheme,Soil Health Card Scheme,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Providing information to farmers on nutrient status of their soil along with recommendations,other,,Soil health card with dosage recommendations for 12 parameters,,,any,,,,,farmer,false,false,false,true,false,false,false,Soil Sample|Aadhaar Card|Land Details,central,https://soilhealth.dac.gov.in/
pm-krishi-sinchai-yojana,Pradhan Mantri Krishi Sinchai Yojana,Ministry of Agriculture and Farmers Welfare,,""Motto of 'Har Khet Ko Pani' and 'Per Drop More Crop' for irrigation"",subsidy,,Financial assistance for micro-irrigation systems and water management,18,,any,,,,,farmer,false,false,false,true,false,false,false,Land Records|Aadhaar Card|Bank Passbook,central,https://pmksy.gov.in/
e-nam,National Agriculture Market (e-NAM),Ministry of Agriculture and Farmers Welfare,,""Pan-India electronic trading portal networking the existing APMC mandis"",other,,Online trading platform for agricultural commodities with better price discovery,,,any,,,,,farmer,false,false,false,true,false,false,false,Aadhaar Card|Mandi Registration|Bank Account,central,https://www.enam.gov.in/
namo-drone-didi,Namo Drone Didi Scheme,Ministry of Agriculture and Farmers Welfare,,Providing drones to 15000 selected Women Self Help Groups for rental services,other,,Drones for agricultural purposes like fertilizer and pesticide application,18,,female,,,,,false,false,false,false,false,false,false,SHG Membership Proof|Aadhaar Card|Bank Account,central,https://www.myscheme.gov.in/schemes/ndds
pm-vishwakarma,PM Vishwakarma Scheme,Ministry of Micro Small and Medium Enterprises,,Support for traditional artisans and craftspeople in 18 trades,other,300000,""Collateral-free credit, skill training, and toolkit incentive of 15000"",18,,any,,,,,false,false,false,false,false,false,false,Artisan ID|Aadhaar Card|Bank Account,central,https://pmvishwakarma.gov.in/
pm-surya-ghar-muft-bijli,""PM Surya Ghar: Muft Bijli Yojana"",Ministry of New and Renewable Energy,,Providing free electricity to households by installing rooftop solar systems,subsidy,78000,""Subsidy for solar plants up to 3kW and 300 units free electricity monthly"",18,,any,,,,,false,false,false,false,false,false,false,Electricity Bill|Consumer Number|Aadhaar Card|Land Ownership,central,https://pmsuryaghar.gov.in/
pm-vidyalaxmi,PM Vidyalaxmi Scheme,Ministry of Education,Department of Higher Education,Financial support to meritorious students for higher education in top institutions,loan,1000000,""Collateral-free and guarantor-free loans with 75% credit guarantee"",18,,any,800000,,,,false,false,true,false,false,false,false,Admission Letter|Fee Structure|Aadhaar Card|Income Proof,central,https://www.vidyalaxmi.co.in/
pm-internship-scheme,PM Internship Scheme,Ministry of Corporate Affairs,,Internship opportunities for youth in top 500 companies in India,employment,60000,""Monthly stipend of 5000 and one-time assistance of 6000"",21,24,any,800000,APL|MIG|LIG|EWS|BPL,,,false,false,false,false,false,false,false,Educational Qualification|Aadhaar Card|PAN Card,central,https://pminternship.mca.gov.in/
nps-vatsalya,NPS Vatsalya,Ministry of Finance,Pension Fund Regulatory and Development Authority,Pension scheme for minors allowing parents to build a retirement corpus,pension,,Contribution-based pension account for minors to be transitioned at 18,0,18,any,,,,,false,false,false,false,false,false,false,Minor's Birth Certificate|Parent's Aadhaar|Parent's Bank Details,central,https://www.npscra.nsdl.co.in/
pm-cares-for-children,PM CARES for Children Scheme,Ministry of Women and Child Development,,Support for children who lost both parents or legal guardians to COVID-19,other,1000000,""Corpus of 10 Lakh, monthly stipend from age 18, and lump sum at 23"",0,18,any,,,,,false,false,true,false,false,false,false,Death Certificates of Parents|Aadhaar of Child|Bank Account,central,https://pmcaresforchildren.in/
pm-garib-kalyan-anna-yojana,Pradhan Mantri Garib Kalyan Anna Yojana,Ministry of Consumer Affairs Food and Public Distribution,Department of Food and Public Distribution,Provision of free food grains to the poor to ensure food security,subsidy,,5 kg of free food grains per person per month to NFSA beneficiaries,,,any,,BPL|AAY,,,false,false,false,false,false,true,false,Ration Card|Aadhaar Card,central,https://nfsa.gov.in/
pm-janjatiya-unnat-gram,""Pradhan Mantri Janjatiya Unnat Gram Abhiyan"",Ministry of Tribal Affairs,,Improving the socio-economic condition of tribal-dominated villages,other,,Saturation of critical infrastructure and services in tribal villages,,,any,,,,,false,false,false,false,false,false,false,ST Certificate|Aadhaar Card|Residence Proof,central,https://tribal.nic.in/
rashtriya-krishi-vikas-yojana,Rashtriya Krishi Vikas Yojana (RKVY),Ministry of Agriculture and Farmers Welfare,,Holistic development of agriculture and allied sectors through state-specific plans,subsidy,,Funding for infrastructure and productivity enhancement projects,,,any,,,,,farmer,false,false,false,true,false,false,false,Project Report|Land Details|Aadhaar Card,central,https://rkvy.nic.in/
national-food-security-mission,National Food Security Mission (NFSM),Ministry of Agriculture and Farmers Welfare,,Increasing production of rice wheat pulses coarse cereals and oilseeds,subsidy,,Financial assistance for seeds and technology demonstrations,,,any,,,,,farmer,false,false,false,true,false,false,false,Farmer Registration|Aadhaar Card,central,https://www.nfsm.gov.in/
miss-interest-subvention,Modified Interest Subvention Scheme (MISS),Ministry of Agriculture and Farmers Welfare,,Short term crop loans to farmers at subsidized interest rates,subsidy,,Interest subvention of 2% and additional 3% for prompt repayment,,,any,,,,,farmer,false,false,false,true,false,false,false,Kisan Credit Card|Bank Passbook|Land Records,central,https://agriwelfare.gov.in/
agriculture-infrastructure-fund,Agriculture Infrastructure Fund (AIF),Ministry of Agriculture and Farmers Welfare,,Medium-long term debt financing facility for post-harvest management,loan,,Interest subvention of 3% per annum for loans up to 2 Crore,18,,any,,,,,farmer,false,false,false,true,false,false,false,Project Report|Aadhaar Card|PAN Card|Bank Statements,central,https://agriinfra.dac.gov.in/
pm-annadata-aay-sanrakshan,""Pradhan Mantri Annadata Aay SanraksHan Abhiyan (PM-AASHA)"",Ministry of Agriculture and Farmers Welfare,,Ensuring remunerative prices to farmers for their produce,subsidy,,Price Support Scheme (PSS) and Price Deficiency Payment Scheme (PDPS),,,any,,,,,farmer,false,false,false,true,false,false,false,Farmer ID|Mandi Receipt|Aadhaar Card,central,https://pmaasha.gov.in/
paramparagat-krishi-vikas,Paramparagat Krishi Vikas Yojana (PKVY),Ministry of Agriculture and Farmers Welfare,,Promotion of organic farming through cluster approach and PGS certification,subsidy,50000,""INR 50000 per hectare for 3 years for organic inputs and marketing"",,,any,,,,,farmer,false,false,false,true,false,false,false,Cluster Registration|Aadhaar Card|Land Records,central,https://pgsindia-ncof.gov.in/pkvy/index.aspx
mission-indradhanush,Mission Indradhanush,Ministry of Health and Family Welfare,,Full immunization coverage for all children and pregnant women,healthcare,,Free vaccines for 12 vaccine-preventable diseases,0,2,any,,,,,false,false,false,false,false,false,false,Vaccination Card|Aadhaar Card of Parent,central,https://www.nhp.gov.in/mission-indradhanush_pg
pm-swasthya-suraksha,Pradhan Mantri Swasthya Suraksha Yojana (PMSSY),Ministry of Health and Family Welfare,,Correcting regional imbalances in the availability of tertiary healthcare,healthcare,,Establishment of AIIMS-like institutions and upgradation of colleges,,,any,,,,,false,false,false,false,false,false,false,Referral from Gov Hospital|Identity Proof,central,https://pmssy.mohfw.gov.in/
pm-surakshit-matritva,""Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA)"",Ministry of Health and Family Welfare,,Free health check-ups for pregnant women on the 9th of every month,healthcare,,Free antenatal care services including diagnostics in 2nd/3rd trimester,,,female,,,,,false,false,false,false,false,false,false,MCP Card|Aadhaar Card,central,https://pmsma.mohfw.gov.in/
national-aids-control,National AIDS Control Programme,Ministry of Health and Family Welfare,National AIDS Control Organisation,Prevention and control of HIV/AIDS in India,healthcare,,Free ART treatment and counseling services,,,any,,,,,false,false,false,false,false,false,false,Medical Reports,central,https://naco.gov.in/
janani-suraksha-yojana,Janani Suraksha Yojana (JSY),Ministry of Health and Family Welfare,,Safe motherhood intervention to promote institutional delivery,subsidy,1400,""Cash incentive for institutional delivery (varies by state)"",19,,female,,BPL|SC|ST,,,false,false,false,false,false,false,false,Aadhaar Card|MCP Card|BPL Certificate|Bank Details,central,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309
janani-shishu-suraksha,Janani Shishu Suraksha Karyakram (JSSK),Ministry of Health and Family Welfare,,Entitlements for pregnant women and sick infants for free treatment,healthcare,,Zero expense delivery and free treatment for infants up to 1 year,,,any,,,,,false,false,false,false,false,false,false,Mother-Child Tracking ID|Aadhaar Card,central,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=842&lid=310
pm-ayushman-bharat-health-infra,PM Ayushman Bharat Health Infrastructure Mission,Ministry of Health and Family Welfare,,Strengthening health systems and institutions for pandemic preparedness,healthcare,,Development of health and wellness centers and diagnostic labs,,,any,,,,,false,false,false,false,false,false,false,N/A - Infrastructure Scheme,central,https://pmabhim.mohfw.gov.in/
samagra-shiksha,Samagra Shiksha Abhiyan,Ministry of Education,Department of School Education and Literacy,Integrated scheme for school education from pre-school to class 12,other,,Equitable learning outcomes and quality schooling infrastructure,4,18,any,,,,,false,false,true,false,false,false,false,School Admission Form|Aadhaar Card,central,https://samagra.education.gov.in/
pm-usp-scholarship,""Uchchatar Shiksha Protsahan (PM-USP)"",Ministry of Education,Department of Higher Education,Scholarships for college and university students from low income families,scholarship,20000,""INR 10000 to 20000 per year for graduation and post-graduation"",18,25,any,450000,,,,false,false,true,false,false,false,false,12th Marksheet|Income Certificate|Aadhaar Card|Admission Proof,central,https://scholarships.gov.in/
national-means-cum-merit-scholarship,National Means-cum-Merit Scholarship,Ministry of Education,Department of School Education and Literacy,Scholarships for meritorious students of class 9 to 12,scholarship,12000,INR 12000 per year for secondary education,13,16,any,350000,,,,false,false,true,false,false,false,false,Class 8 Marksheet|Income Certificate|Aadhaar Card,central,https://scholarships.gov.in/
pm-shri-schools,PM SHRI Schools,Ministry of Education,,Upgradation of schools into showcase institutions for NEP 2020,other,,Infrastructure and quality pedagogy improvements in selected schools,4,18,any,,,,,false,false,true,false,false,false,false,N/A - Institutional Scheme,central,https://pmshrischools.education.gov.in/
mid-day-meal-program,Mid Day Meal Program (MDM),Ministry of Education,,Provision of nutritional support to primary and upper primary students,healthcare,,Free cooked meal in schools during working days,6,14,any,,,,,false,false,true,false,false,false,false,School Attendance Record,central,https://pmposhan.education.gov.in/
rte-25-percent-reservation,Right to Education (RTE) 25% Admission,Ministry of Education,,Reservation of seats in private schools for children from EWS/Disadvantaged groups,other,,Free education in private schools from class 1 to 8,6,14,any,,EWS|BPL,,,false,false,true,false,false,false,false,Income Certificate|Birth Certificate|Aadhaar Card|Address Proof,central,https://education.gov.in/en/rte
pm-swades,PM-SWADES (Skill Development),Ministry of Skill Development and Entrepreneurship,,Skill mapping of citizens returning from overseas under Vande Bharat Mission,employment,,Database for employment opportunities based on global skill requirements,18,60,any,,,,,false,false,false,false,false,false,false,Passport|Aadhaar Card|Experience Certificate,central,https://nsdcindia.org/swades/
deendayal-antyodaya-nrlm,Deendayal Antyodaya Yojana - NRLM,Ministry of Rural Development,Department of Rural Development,Poverty alleviation through building strong institutions for the poor,other,,Access to credit and livelihood support through Self Help Groups,18,60,female,,BPL,,,false,false,false,false,false,false,false,Aadhaar Card|SHG Membership|Bank Account,central,https://aajeevika.gov.in/
deendayal-antyodaya-nulm,Deendayal Antyodaya Yojana - NULM,Ministry of Housing and Urban Affairs,,Reducing poverty and vulnerability of the urban poor households,employment,,Skill training and self-employment support for urban poor,18,60,any,,BPL|LIG,,,false,false,false,false,false,false,false,Aadhaar Card|Income Certificate|Bank Account,central,https://nulm.gov.in/
pm-gati-shakti,PM Gati Shakti National Master Plan,Ministry of Commerce and Industry,,Multimodal connectivity for economic zones and infrastructure,other,,Integrated planning and coordinated execution of infrastructure projects,,,any,,,,,false,false,false,false,false,false,false,N/A - Logistics Scheme,central,https://www.gatishakti.gov.in/
smart-cities-mission,Smart Cities Mission,Ministry of Housing and Urban Affairs,,Promotion of cities that provide core infrastructure and decent quality of life,housing,,Funding for urban renewal and smart technology projects,,,any,,,,,false,false,false,false,false,false,false,N/A - Municipal Scheme,central,https://smartcities.gov.in/
amrut-mission,""Atal Mission for Rejuvenation and Urban Transformation (AMRUT)"",Ministry of Housing and Urban Affairs,,Providing basic services like water supply and sewerage to households,other,,Infrastructure for water supply and green spaces in 500 cities,,,any,,,,,false,false,false,false,false,false,false,N/A - Urban Infrastructure,central,https://amrut.mohua.gov.in/
swachh-bharat-mission-urban,Swachh Bharat Mission (Urban),Ministry of Housing and Urban Affairs,,Elimination of open defecation and 100% scientific management of waste,subsidy,12000,Subsidy for construction of Individual Household Latrines (IHHL),,,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Bank Account|Photograph of Site,central,https://sbmurban.org/
swachh-bharat-mission-gramin,Swachh Bharat Mission (Gramin),Ministry of Jal Shakti,Department of Drinking Water and Sanitation,Improving the levels of cleanliness in rural areas through Solid and Liquid Waste Management,subsidy,12000,Incentive for construction of Individual Household Latrines (IHHL),,,any,,BPL|SC|ST,,,false,false,false,false,false,false,false,Aadhaar Card|Bank Details|BPL ID,central,https://swachhbharatmission.gov.in/
jal-jeevan-mission,Jal Jeevan Mission (Har Ghar Jal),Ministry of Jal Shakti,Department of Drinking Water and Sanitation,Providing functional household tap connections to every rural household,other,,Safe and adequate drinking water through individual tap connections,,,any,,,,,false,false,false,false,false,false,false,Aadhaar Card|Land Ownership,central,https://jaljeevanmission.gov.in/
startup-india-seed-fund,Startup India Seed Fund Scheme (SISFS),Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade,Financial assistance to startups for proof of concept and prototype development,loan,5000000,""Grants up to 20 Lakh and debt up to 50 Lakh through incubators"",18,,any,,,,,false,false,false,false,false,false,false,DPIIT Recognition|Business Plan|Bank Account,central,https://seedfund.startupindia.gov.in/
make-in-india,Make in India,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade,Facilitating investment and fostering innovation for manufacturing hub,other,,Ease of doing business and sector-specific incentives,,,any,,,,,false,false,false,false,false,false,false,N/A - Policy Scheme,central,https://www.makeinindia.com/
production-linked-incentive,Production Linked Incentive (PLI) Scheme,Ministry of Electronics and Information Technology,,""Incentives for domestic manufacturing in 14 key sectors"",subsidy,,4% to 6% incentive on incremental sales of manufactured goods,,,any,,,,,false,false,false,false,false,false,false,Company Registration|Investment Proof|Sales Audit,central,https://pli.india.gov.in/
pm-matsya-sampada,Pradhan Mantri Matsya Sampada Yojana,Ministry of Fisheries Animal Husbandry and Dairying,Department of Fisheries,Sustainable development of fisheries sector through various interventions,subsidy,,Financial assistance for fish farming units and vessels,18,,any,,,,,false,false,false,false,false,false,false,Fishing License|Aadhaar Card|Land/Water Lease,central,https://pmmsy.dof.gov.in/
kisan-credit-card,Kisan Credit Card (KCC) Scheme,Ministry of Finance,Department of Financial Services,Timely credit to farmers for their cultivation and other needs,loan,300000,Loan up to 3 Lakh at effective interest rate of 4%,18,75,any,,,,,farmer,false,false,false,true,false,false,false,Aadhaar Card|Land Records|Bank Passbook,central,https://pmkisan.gov.in/
pmegp,""Prime Minister’s Employment Generation Programme"",Ministry of Micro Small and Medium Enterprises,Khadi and Village Industries Commission,Credit linked subsidy program for generating self-employment through micro-enterprises,subsidy,5000000,""Subsidy up to 35% on project cost up to 50 Lakh"",18,,any,,,,,false,false,false,false,false,false,false,Project Report|Aadhaar Card|Educational Proof,central,https://www.kviconline.gov.in/pmegeponline/
kanya-sumangala-yojana,Mukhya Mantri Kanya Sumangala Yojana,Uttar Pradesh Government,Department of Women and Child Welfare,Financial assistance to girl child from birth till graduation,subsidy,25000,""INR 25000 in 6 stages for health and education"",0,18,female,300000,,,,false,false,true,false,false,false,false,Birth Certificate|Income Certificate|Aadhaar Card|Photograph,state,https://mksy.up.gov.in/
kanyashree-prakalpa,Kanyashree Prakalpa,West Bengal Government,Department of Women and Child Development,Conditional cash transfer to girls to prevent child marriage and promote education,scholarship,25000,""Annual scholarship of 1000 and one-time grant of 25000 at age 18"",13,18,female,,,,,false,false,true,false,false,false,false,Unmarried Declaration|School Certificate|Bank Passbook|Aadhaar,state,https://www.wbkanyashree.gov.in/
ladli-behna-yojana,Ladli Behna Yojana,Madhya Pradesh Government,Department of Women and Child Development,Financial empowerment of women through monthly cash transfers,subsidy,15000,Monthly transfer of INR 1250 to bank accounts of eligible women,21,60,female,250000,,,,false,false,false,false,false,false,false,Aadhaar Card|Samagra ID|Bank Passbook|Residence Proof,state,https://cmladlibehna.mp.gov.in/
rythu-bandhu,Rythu Bandhu Scheme,Telangana Government,Department of Agriculture,Investment support to farmers for every season,subsidy,10000,INR 10000 per acre per year in two installments,,,any,,,,,farmer,false,false,false,true,false,false,false,Pattadar Passbook|Aadhaar Card|Bank Details,state,https://rythubandhu.telangana.gov.in/
amma-vodi,Jagananna Amma Vodi,Andhra Pradesh Government,Department of School Education,Financial assistance to mothers for educating their children,subsidy,15000,INR 15000 annually to the mother's bank account,6,18,female,,BPL,,,false,false,true,false,false,true,false,Ration Card|Aadhaar Card|School Attendance Record,state,https://jaganannaammavodi.ap.gov.in/
kalaignar-magalir-urimai,""Kalaignar Magalir Urimai Thogai"",Tamil Nadu Government,,Monthly financial assistance to women heads of eligible households,subsidy,12000,Monthly cash transfer of INR 1000 to women heads of families,21,,female,250000,BPL|LIG,,,false,false,false,false,false,true,false,Ration Card|Aadhaar Card|Income Certificate,state,https://edistricts.tn.gov.in/
mukhyamantri-kanya-utthan,Mukhyamantri Kanya Utthan Yojana,Bihar Government,Department of Social Welfare,Financial support for girls from birth to graduation to prevent child marriage,subsidy,50000,Total financial assistance of 50000 in various stages till graduation,0,21,female,,,,,false,false,true,false,false,false,false,Marksheet|Aadhaar Card|Bank Passbook|Residence Proof,state,https://edudbt.bih.nic.in/
swasthya-sathi-scheme,Swasthya Sathi,West Bengal Government,Department of Health and Family Welfare,Group health insurance for the entire population of the state,healthcare,500000,Cashless health cover up to 5 Lakh per family per year,,,any,,,,,false,false,false,false,false,false,false,Swasthya Sathi Card|Aadhaar Card,state,https://swasthyasathi.gov.in/
bhagyalaxmi-yojana,Bhagyalaxmi Yojana,Karnataka Government,Department of Women and Child Development,Financial security for girl child in BPL families,other,100000,""Maturity amount of 1 Lakh on attaining age 18"",0,1,female,,BPL,,,false,false,false,false,false,false,false,Birth Certificate|BPL Card|Aadhaar of Parent,state,https://dwcd.karnataka.gov.in/
kalia-scheme,""Krushak Assistance for Livelihood and Income Augmentation (KALIA)"",Odisha Government,Department of Agriculture,Accelerating agricultural prosperity and reducing poverty,subsidy,10000,Financial assistance for small and marginal farmers and landless laborers,18,,any,,,,,farmer,false,false,false,true,false,false,false,Aadhaar Card|Land Records|Bank Account,state,https://kalia.odisha.gov.in/
shakti-scheme-free-bus,Shakti Scheme,Karnataka Government,Transport Department,Free bus travel for women residents of Karnataka,other,,Free travel in state-run non-premium buses across the state,,,female,,,,,false,false,false,false,false,false,false,Shakti Smart Card|Aadhaar Card,state,https://sevasindhu.karnataka.gov.in/
asara-pension,Asara Pension,Telangana Government,Department of Rural Development,Social security pensions for vulnerable sections,pension,24192,Monthly pension of 2016 for elderly and 3016 for disabled,65,,any,,BPL,,,true,true,false,false,true,true,false,Aadhaar Card|Age Proof|Disability Certificate|BPL Card,state,https://www.aasara.telangana.gov.in/
biju-swasthya-kalyan,Biju Swasthya Kalyan Yojana (BSKY),Odisha Government,Department of Health and Family Welfare,Universal health coverage in Odisha,healthcare,1000000,Health cover of 5 Lakh per family and 10 Lakh for women members,,,any,,BPL|RSBY,,,false,false,false,false,false,true,false,Ration Card|Aadhaar Card|BSKY Health Card,state,https://bsky.odisha.gov.in/
